filename,width,height,class,xmin,ymin,xmax,ymax
raccoon-151.jpg,225,225,raccoon,42,94,108,224
raccoon-135.jpg,640,426,raccoon,99,8,605,404
raccoon-13.jpg,660,495,raccoon,55,28,393,313
raccoon-191.jpg,634,445,raccoon,100,89,478,331
raccoon-85.jpg,620,465,raccoon,236,87,598,429
raccoon-98.jpg,480,360,raccoon,108,31,351,308
raccoon-185.jpg,275,183,raccoon,25,1,200,181
raccoon-102.jpg,259,194,raccoon,1,1,118,152
raccoon-125.jpg,259,195,raccoon,13,6,252,190
raccoon-70.jpg,500,375,raccoon,60,4,421,369
raccoon-73.jpg,284,177,raccoon,56,16,274,166
raccoon-115.jpg,426,640,raccoon,51,130,351,556
raccoon-109.jpg,192,259,raccoon,9,1,177,252
raccoon-18.jpg,240,156,raccoon,32,25,201,130
raccoon-199.jpg,640,428,raccoon,28,64,530,402
raccoon-25.jpg,634,641,raccoon,31,82,325,641
raccoon-62.jpg,640,407,raccoon,73,19,632,407
raccoon-130.jpg,640,426,raccoon,223,62,497,307
raccoon-130.jpg,640,426,raccoon,453,41,640,423
raccoon-41.jpg,700,500,raccoon,211,78,530,468
raccoon-152.jpg,275,183,raccoon,41,60,223,155
raccoon-145.jpg,600,450,raccoon,3,36,345,450
raccoon-145.jpg,600,450,raccoon,260,41,569,449
raccoon-113.jpg,640,480,raccoon,1,1,384,436
raccoon-139.jpg,259,194,raccoon,20,6,177,167
raccoon-184.jpg,640,640,raccoon,81,77,567,617
raccoon-127.jpg,253,199,raccoon,125,59,212,165
raccoon-65.jpg,480,360,raccoon,123,27,338,284
raccoon-133.jpg,490,640,raccoon,8,6,476,631
raccoon-124.jpg,259,194,raccoon,17,39,239,147
raccoon-93.jpg,251,201,raccoon,66,29,233,190
raccoon-123.jpg,640,406,raccoon,280,42,550,392
raccoon-141.jpg,249,202,raccoon,1,1,154,176
raccoon-68.jpg,640,423,raccoon,1,24,517,423
raccoon-94.jpg,700,467,raccoon,155,10,543,445
raccoon-79.jpg,640,425,raccoon,120,1,568,425
raccoon-78.jpg,223,226,raccoon,28,15,221,216
raccoon-187.jpg,362,357,raccoon,161,112,292,276
raccoon-76.jpg,225,225,raccoon,14,1,212,132
raccoon-165.jpg,199,253,raccoon,27,11,194,228
raccoon-161.jpg,500,347,raccoon,209,73,385,186
raccoon-74.jpg,800,533,raccoon,141,6,472,505
